geoId,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
SC,0.16201952410006099,0.14100061012812687,0.13657718120805368,0.1473052674394956,0.1512405938580435,0.13196054504779334,0.08042505592841162,0.032591010778930236,0.01688021151108399
SO,0.32815026332928526,0.24775283094003803,0.16949845088021503,0.09654457036047889,0.06631092165784666,0.04618145638086281,0.02911870779607328,0.013219914732188615,0.003222883923011443
SS,0.289955384840923,0.23065602177790798,0.17536175835595091,0.11918753795093665,0.0801195919608202,0.05320166318123299,0.03081520018932029,0.016315027816020917,0.004387813926887099
UG,0.32478415425985446,0.2503098751666995,0.1721141863973241,0.1115213921864411,0.06850318095363024,0.04049834940206818,0.021300911654751762,0.009007192671782429,0.001960757307448461
TZ,0.3074003168000221,0.23586218504293344,0.16483433036943165,0.11989658254976925,0.08070294656765631,0.048994284062970746,0.02716701063760562,0.01240890208095652,0.0027334418886543295
ZM,0.3080698191401241,0.2475082620954924,0.17299774868912868,0.11886418788208586,0.07690885465565736,0.04140887848077965,0.02196670836244386,0.009789242315418945,0.0024862983788690525
ZW,0.2898594603875804,0.23951910683541672,0.16705935513240425,0.12564658361034808,0.08462814895074167,0.046968473975550026,0.028622558665597965,0.013480386467618389,0.004215925974742391
AO,0.3316217101375794,0.23981362897667607,0.16144324630955972,0.11256918491627953,0.07341067747637182,0.04456246751228342,0.02391196347574358,0.010093296872039139,0.002573824323467453
CM,0.29556491361516807,0.23267123646832513,0.17146878323493256,0.12807426422436277,0.08068462190569498,0.04853776844483192,0.027623851308814056,0.0125343066626123,0.0028402541352581328
CF,0.29724205986048186,0.2618363961468926,0.17391947101349053,0.10380113810943974,0.07029929412700084,0.048158874843574145,0.028792504147200568,0.012734783728563136,0.003215478023356835
TD,0.33194909319506516,0.2458762126230354,0.16930724901510477,0.10773537018672813,0.06592233623824482,0.03985465843825884,0.025408047152967767,0.010998572433867843,0.0029484607167272045
CG,0.2885662290516359,0.2279708275976551,0.15843537947536937,0.12324531740318934,0.09710131690446623,0.05942126372666493,0.029853978512862776,0.012576267303988408,0.0028294200241677737
CD,0.32924122091699237,0.23447622594214804,0.15820694369641639,0.10900157393691595,0.07375419215178897,0.04853656604132737,0.02887226957719422,0.014165543898798191,0.0037454638384186115
GQ,0.26490874813344406,0.18909468027099363,0.20412548958114304,0.1774651902907016,0.082226110756708,0.04434616193330648,0.024860565152157718,0.010492628217692989,0.002480425663852429
GA,0.26957741467061563,0.1899468398654283,0.16507542700635477,0.15728157259108033,0.10430924174023061,0.0602733128216925,0.032035810305661785,0.01648584193576214,0.005014539063173937
BW,0.22920533673523621,0.20072630627757398,0.17116206878222504,0.15533471535640245,0.1109934619677882,0.06233264232179874,0.04433147291766331,0.020648700366767657,0.005265295274544198
SZ,0.24705127895711293,0.23877486286421573,0.1834973331356601,0.1390570643460752,0.08998641571364047,0.0445773183791257,0.03148003213338803,0.019467075344520253,0.006108619126261458
ZA,0.1953441392821187,0.17550841200505354,0.17099499247074926,0.17122828037510188,0.11875620587809306,0.08281302453316707,0.053355435771722484,0.02488766823209212,0.0071118414519019055
BJ,0.2966997651939694,0.2292700325442181,0.1700679969097263,0.11848713516021105,0.08098787135209702,0.0536723890841344,0.03127747315518562,0.015246389607758612,0.004290946992699452
BF,0.3134526556074123,0.24061025261205435,0.16782367818100105,0.11615560966083881,0.07592746936628789,0.04676252212691233,0.025779545198604727,0.011205754427606995,0.002282512819281262
CV,0.18898969042497318,0.17974668518025566,0.17598401404346856,0.17677719663014307,0.11673992963876918,0.08617452175226804,0.04743447700310078,0.01628812132635956,0.011865364000661884
